caldt,vwretd
1926-10-01,0.007404
1926-10-02,-0.000921
1926-10-04,-0.013722
1926-10-05,-0.010924
1926-10-06,-0.005597
1926-10-07,-0.007345
1926-10-08,0.005984
1926-10-09,-0.009203
1926-10-11,-0.006713
1926-10-13,0.006953
1926-10-14,0.009733
1926-10-15,-0.017962
1926-10-16,-0.007117
1926-10-18,0.006930
1926-10-19,-0.010099
1926-10-20,-0.002423
1926-10-21,0.015238
1926-10-22,-0.003869
1926-10-23,0.005567
1926-10-25,-0.000788
1926-10-26,0.003316
1926-10-27,0.010061
1926-10-28,-0.000702
1926-10-29,-0.000453
1926-10-30,-0.002335
1926-11-01,0.004693
1926-11-03,0.001943
1926-11-04,0.006036
1926-11-05,0.000837
1926-11-06,0.001718
1926-11-08,0.005270
1926-11-09,0.001374
1926-11-10,-0.005860
1926-11-11,0.006825
1926-11-12,0.002480
1926-11-13,-0.002182
1926-11-15,0.003772
1926-11-16,0.001561
1926-11-17,-0.003332
1926-11-18,-0.004568
1926-11-19,-0.006343
1926-11-20,0.004037
1926-11-22,0.005694
1926-11-23,0.003453
1926-11-24,0.000947
1926-11-26,0.002354
1926-11-27,-0.001375
1926-11-29,-0.003448
1926-11-30,0.002843
1926-12-01,0.003624
1926-12-02,0.005067
1926-12-03,0.003158
1926-12-04,-0.001536
1926-12-06,0.000454
1926-12-07,-0.000222
1926-12-08,-0.000791
1926-12-09,0.004395
1926-12-10,0.003724
1926-12-11,0.001054
1926-12-13,0.004240
1926-12-14,0.001113
1926-12-15,0.002069
1926-12-16,-0.005997
1926-12-17,0.009088
1926-12-18,0.004261
1926-12-20,-0.002708
1926-12-21,-0.000231
1926-12-22,0.000128
1926-12-23,0.003037
1926-12-24,0.003072
1926-12-27,-0.001925
1926-12-28,-0.010793
1926-12-29,0.004597
1926-12-30,-0.003402
1926-12-31,0.003473
1927-01-03,-0.007792
1927-01-04,0.003069
1927-01-05,0.001561
1927-01-06,-0.001545
1927-01-07,0.003344
1927-01-08,0.003936
1927-01-10,0.001575
1927-01-11,-0.002796
1927-01-12,0.000817
1927-01-13,-0.000336
1927-01-14,0.000482
1927-01-15,0.001517
1927-01-17,-0.000384
1927-01-18,-0.000510
1927-01-19,0.005986
1927-01-20,-0.001564
1927-01-21,-0.000027
1927-01-22,-0.003453
1927-01-24,-0.004610
1927-01-25,-0.010575
1927-01-26,0.002111
1927-01-27,-0.003505
1927-01-28,0.001686
1927-01-29,0.007384
1927-01-31,0.006522
1927-02-01,-0.000077
1927-02-02,0.007522
1927-02-03,0.001981
1927-02-04,0.003601
1927-02-05,-0.001772
1927-02-07,-0.001283
1927-02-08,0.001042
1927-02-09,0.000411
1927-02-10,0.001077
1927-02-11,0.003158
1927-02-14,0.004909
1927-02-15,0.001157
1927-02-16,0.000231
1927-02-17,0.003287
1927-02-18,0.003039
1927-02-19,0.000087
1927-02-21,-0.001482
1927-02-23,0.007267
1927-02-24,0.001484
1927-02-25,0.002336
1927-02-26,0.000733
1927-02-28,0.005863
1927-03-01,-0.003648
1927-03-02,-0.011422
1927-03-03,0.010289
1927-03-04,-0.004491
1927-03-05,-0.002308
1927-03-07,-0.003621
1927-03-08,0.001291
1927-03-09,0.005055
1927-03-10,0.004607
1927-03-11,0.001669
1927-03-12,-0.000183
1927-03-14,0.001816
1927-03-15,-0.007828
1927-03-16,0.010139
1927-03-17,0.004147
1927-03-18,-0.007786
1927-03-19,0.000420
1927-03-21,0.001812
1927-03-22,-0.010282
1927-03-23,0.002014
1927-03-24,0.006783
1927-03-25,0.001774
1927-03-26,0.003387
1927-03-28,0.005257
1927-03-29,-0.002183
1927-03-30,-0.005828
1927-03-31,0.003174
1927-04-01,-0.000580
1927-04-02,-0.000790
1927-04-04,0.005330
1927-04-05,0.005980
1927-04-06,0.001145
1927-04-07,0.002557
1927-04-08,0.003355
1927-04-09,0.000425
1927-04-11,0.002125
1927-04-12,-0.002730
1927-04-13,0.002052
1927-04-14,0.000940
